FEATURES_SELECTION,OUTLIER_REMOVAL,DATA_BALANCING,CLASSIFIER,SCORE,FEATURES
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=3, sampling_strategy='all')","[SMOTE(k_neighbors=3, sampling_strategy='all')
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.6242424242424243,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,RandomOverSampler(sampling_strategy='minority'),"[RandomOverSampler(sampling_strategy='minority')
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.7097979797979799,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=0)","[RandomOverSampler(sampling_strategy='minority', shrinkage=0)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.6525252525252525,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=1)","[RandomOverSampler(sampling_strategy='minority', shrinkage=1)
 LogisticRegression(C=1, max_iter=1000, random_state=42)]",0.5672510822510823,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=2)","[RandomOverSampler(sampling_strategy='minority', shrinkage=2)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.6188888888888888,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,RandomOverSampler(sampling_strategy='all'),"[RandomOverSampler(sampling_strategy='all')
 LogisticRegression(C=1, max_iter=1000, random_state=42)]",0.6023304473304474,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.6690476190476191,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='all', shrinkage=1)","[RandomOverSampler(sampling_strategy='all', shrinkage=1)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=3, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.595,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='all', shrinkage=2)","[RandomOverSampler(sampling_strategy='all', shrinkage=2)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=2,
                            min_samples_split=8, min_weight_fraction_leaf=0.25)]",0.6066666666666667,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","SMOTE(k_neighbors=1, sampling_strategy='minority')","[SMOTE(k_neighbors=1, sampling_strategy='minority')
 LogisticRegression(C=1, max_iter=1000, random_state=42)]",0.5661904761904761,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","SMOTE(k_neighbors=2, sampling_strategy='minority')","[SMOTE(k_neighbors=2, sampling_strategy='minority')
 LogisticRegression(C=1, max_iter=1000, random_state=42)]",0.5661904761904761,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","SMOTE(k_neighbors=3, sampling_strategy='minority')","[SMOTE(k_neighbors=3, sampling_strategy='minority')
 LogisticRegression(C=1, max_iter=1000, random_state=42)]",0.5985714285714285,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","SMOTE(k_neighbors=1, sampling_strategy='all')","[SMOTE(k_neighbors=1, sampling_strategy='all')
 LogisticRegression(C=1, max_iter=1000, penalty='none', random_state=42)]",0.5661904761904761,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","SMOTE(k_neighbors=2, sampling_strategy='all')","[SMOTE(k_neighbors=2, sampling_strategy='all')
 LogisticRegression(C=1, max_iter=1000, random_state=42)]",0.5661904761904761,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","SMOTE(k_neighbors=3, sampling_strategy='all')","[SMOTE(k_neighbors=3, sampling_strategy='all')
 DecisionTreeClassifier(criterion='entropy', max_features='sqrt',
                        min_samples_leaf=2)                      ]",0.6360317460317461,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)",RandomOverSampler(sampling_strategy='minority'),"[RandomOverSampler(sampling_strategy='minority')
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=2, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.7071428571428571,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","RandomOverSampler(sampling_strategy='minority', shrinkage=0)","[RandomOverSampler(sampling_strategy='minority', shrinkage=0)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.5617460317460317,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","RandomOverSampler(sampling_strategy='minority', shrinkage=1)","[RandomOverSampler(sampling_strategy='minority', shrinkage=1)
 LogisticRegression(C=2, max_iter=1000, penalty='none', random_state=42)]",0.5128571428571428,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","RandomOverSampler(sampling_strategy='minority', shrinkage=2)","[RandomOverSampler(sampling_strategy='minority', shrinkage=2)
 LogisticRegression(C=4, max_iter=1000, random_state=42)]",0.5795238095238096,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)",RandomOverSampler(sampling_strategy='all'),"[RandomOverSampler(sampling_strategy='all')
 DecisionTreeClassifier(criterion='entropy', max_features='log2',
                        min_samples_leaf=2, min_samples_split=4) ]",0.6702380952380953,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.5662698412698413,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.015, dual=False, penalty='l1'),
                prefit=True)","IsolationForest(max_features=5, n_estimators=10)","RandomOverSampler(sampling_strategy='all', shrinkage=1)","[RandomOverSampler(sampling_strategy='all', shrinkage=1)
 LogisticRegression(C=1, max_iter=1000, penalty='none', random_state=42)]",0.4961904761904762,"['wmc' 'lcom' 'numbersQty' 'mathOperationsQty' 'variablesQty'
 'uniqueWordsQty' 'modifiers']"
